,Player,My Move,Opponent Move
0,1.0,Nc3,g6
1,1.0,Nf3,Bg7
2,1.0,e4,e6
3,1.0,d4,Nf6
4,1.0,e5,Nd5
5,1.0,Bd2,Nxc3
6,1.0,Bxc3,O-O
7,1.0,Be2,Nc6
8,1.0,a3,d6
9,1.0,Bb4,Re8
10,1.0,exd6,cxd6
11,1.0,c4,d5
12,1.0,cxd5,Qxd5
13,1.0,b3,Nxd4
14,1.0,Nxd4,Bxd4
15,1.0,Bc4,Qe5+
16,1.0,Be2,Bxa1
17,1.0,O-O,Bd4
18,1.0,g3,b6
19,1.0,Bd2,a5
20,1.0,Bf4,Qc5
21,1.0,Bf3,Rb8
22,1.0,b4,axb4
23,1.0,axb4,Qxb4
24,1.0,Bc6,Rd8
25,1.0,Bxb8,Bxf2+
26,1.0,Rxf2,Rxd1+
27,1.0,Kg2,Qc5
28,1.0,Bf3,Rd3
29,1.0,Be4,Rd4
30,1.0,Bf3,b5
31,1.0,Bf4,Rxf4
32,1.0,gxf4,e5
33,1.0,fxe5,Qxe5
34,1.0,Rc2,Qg5+
35,1.0,Kf2,Bg4
36,1.0,Bxg4,Qxg4
37,1.0,Rb2,Qd4+
38,1.0,Kf1,Qxb2
39,0.0,,d4
40,0.0,Nf6,Bf4
41,0.0,d5,Nc3
42,0.0,e6,a3
43,0.0,Be7,Qd3
44,0.0,h6,e4
45,0.0,g5,Bg3
46,0.0,Bd7,e5
47,0.0,Ne4,Nxe4
48,0.0,dxe4,Qxe4
49,0.0,Nc6,O-O-O
50,0.0,f6,exf6
51,0.0,Bxf6,Bxc7
52,0.0,Qxc7,Qg6+
53,0.0,Ke7,Nf3
54,0.0,Qf4+,Kb1
55,0.0,Nxd4,Nxd4
56,0.0,Bxd4,Rxd4
57,0.0,Qxd4,Bd3
58,0.0,Qxf2,Rf1
59,0.0,Qxg2,Qf7+
60,0.0,Kd6,Rd1
61,0.0,Rhf8,Qh5
62,0.0,Qf3,Be4+
63,0.0,Qxd1+,Qxd1+
64,0.0,Ke7,Bxb7
65,0.0,Rab8,Ba6
66,0.0,Bb5,Bxb5
67,0.0,Rxb5,a4
68,0.0,Rbf5,Qg4
69,0.0,Rf1+,Ka2
70,0.0,R1f2,Qh5
71,0.0,Rxc2,Qxh6
72,0.0,Rb8,Qh7+
73,0.0,Kd6,Qxc2
74,0.0,Rb7,Qg6
75,0.0,Rb4,Qxg5
76,0.0,Rxa4+,Kb1
77,0.0,Re4,h4
78,0.0,Re1+,Ka2
79,0.0,Re5,Qg7
80,0.0,a5,Qg6
81,0.0,a4,h5
82,0.0,Re1,h6
83,0.0,Kd5,h7
84,0.0,Rh1,Qg7
85,0.0,e5,h8=Q
86,0.0,Rxh8,Qxh8
87,0.0,e4,Ka3
88,0.0,e3,Qc3
89,0.0,Ke4,Kxa4
90,0.0,Kf3,b4
91,0.0,Kf2,b5
92,0.0,e2,b6
93,0.0,e1=Q,Qxe1+
94,0.0,Kxe1,b7
95,0.0,Ke2,b8=Q
96,0.0,Kd3,Kb3
97,1.0,Nc3,c5
98,1.0,Nf3,Nc6
99,1.0,e4,g6
100,1.0,d3,Bg7
101,1.0,Bd2,d6
102,1.0,a3,Nf6
103,1.0,h3,e5
104,1.0,Be2,O-O
105,1.0,b4,cxb4
106,1.0,axb4,a6
107,1.0,Nd5,Nxd5
108,1.0,exd5,Ne7
109,1.0,c4,b5
110,1.0,cxb5,Bd7
111,1.0,d4,axb5
112,1.0,Rxa8,Qxa8
113,1.0,dxe5,dxe5
114,1.0,O-O,Qxd5
115,1.0,Ng5,h6
116,1.0,Bf3,Qd4
117,1.0,Ne4,Bc6
118,1.0,Nc5,Bxf3
119,1.0,Qxf3,Qxd2
120,1.0,Nd7,Rc8
121,1.0,Nc5,Qxb4
122,1.0,Nd7,Rd8
123,1.0,Nb6,Qf4
124,1.0,Qxf4,exf4
125,1.0,f3,Rb8
126,1.0,Nd7,Rb7
127,1.0,Nc5,Rc7
128,1.0,Na6,Ra7
129,1.0,Nb4,Bc3
130,1.0,Nd3,b4
131,1.0,Rd1,g5
132,1.0,Nc1,Kg7
133,1.0,Nb3,Ra3
134,1.0,Nc5,b3
135,1.0,Ne4,Bb4
136,1.0,Nf2,b2
137,1.0,Nd3,Bc3
138,1.0,Nxb2,Bxb2
139,1.0,Rd7,Nf5
140,1.0,g4,Ng3
141,1.0,Rb7,Bd4+
142,1.0,Kg2,Ra2+
143,1.0,Rb2,Rxb2#
144,1.0,Nc3,Nf6
145,1.0,Nf3,d5
146,1.0,d4,Nc6
147,1.0,e3,e6
148,1.0,Bd2,Bd6
149,1.0,Be2,b6
150,1.0,a3,Bb7
151,1.0,h3,O-O
152,1.0,g4,Ne4
153,1.0,Nxe4,dxe4
154,1.0,Ne5,Nxe5
155,1.0,dxe5,Bxe5
156,1.0,f4,Bxb2
157,1.0,Rb1,Bxa3
158,1.0,Bb4,Bxb4+
159,1.0,Rxb4,Qh4+
160,1.0,Kd2,Rad8+
161,1.0,Rd4,Rxd4+
162,1.0,exd4,e3+
163,1.0,Kxe3,Bxh1
164,1.0,Qxh1,Qg3+
165,1.0,Bf3,Re8
166,1.0,Qb1,f6
167,1.0,Qb5,Kf7
168,1.0,Qd7+,Re7
169,1.0,Qb5,Qxh3
170,1.0,g5,e5
171,1.0,dxe5,fxe5
172,1.0,Ke4,exf4+
173,1.0,Kxf4,Qh4+
174,1.0,Bg4,Qf2+
175,1.0,Bf3,Qd4+
176,1.0,Kg3,Qg1+
177,1.0,Kf4,h6
178,1.0,Qf5+,Ke8
179,1.0,Bh5+,Kd8
180,1.0,Qf8+,Kd7
181,1.0,Qf5+,Kd8
182,1.0,Qd5+,Rd7
183,1.0,Qa8+,Ke7
184,1.0,Qe8+,Kd6
185,1.0,Qg6+,Kc5
186,1.0,Qf5+,Kc4
187,1.0,Qxd7,Qxg5+
188,1.0,Ke4,Qxh5
189,1.0,Qd4+,Kb5
190,1.0,c4+,Ka6
191,1.0,Qa1+,Kb7
192,1.0,Qd4,Qg6+
193,1.0,Ke3,Qg1+
194,1.0,Kd3,Qxd4+
195,1.0,Kxd4,h5
196,1.0,Ke4,h4
197,1.0,Kf4,Kc6
198,1.0,Kg4,Kc5
199,1.0,Kxh4,Kxc4
200,1.0,Kg5,a5
201,1.0,Kg6,a4
202,1.0,Kxg7,a3
203,1.0,Kf6,b5
204,1.0,Ke6,b4
205,1.0,Kd7,b3
206,1.0,Kxc7,a2
207,1.0,Kb6,a1=Q
208,1.0,Kb7,b2
209,1.0,Kb6,b1=Q+
210,1.0,Kc6,Qa6+
211,1.0,Kc7,Qbb7+
212,1.0,Kd8,Qaa8#
213,0.0,,e4
214,0.0,e5,Nf3
215,0.0,Nf6,c3
216,0.0,d6,d4
217,0.0,Nc6,Bb5
218,0.0,Bd7,d5
219,0.0,Na5,Bxd7+
220,0.0,Nxd7,b4
221,0.0,Nf6,bxa5
222,0.0,Nxe4,O-O
223,0.0,Nf6,Bg5
224,0.0,Be7,Nbd2
225,0.0,h6,Bxf6
226,0.0,Bxf6,Ne4
227,0.0,Qe7,Rb1
228,0.0,O-O-O,Qb3
229,0.0,b6,axb6
230,0.0,cxb6,a4
231,0.0,Bg5,a5
232,0.0,f5,axb6
233,0.0,axb6,Qxb6
234,0.0,fxe4,Qb8+
235,0.0,Kd7,Qb5+
236,0.0,Kc7,Qc6#
237,0.0,,e4
238,0.0,Nf6,e5
239,0.0,Ng4,f4
240,0.0,d6,h3
241,0.0,Nh6,Nf3
242,0.0,d5,d4
243,0.0,e6,g4
244,0.0,Bd7,c4
245,0.0,Be7,cxd5
246,0.0,exd5,f5
247,0.0,Ng8,Nc3
248,0.0,c6,Na4
249,0.0,b5,Nc5
250,0.0,Bxc5,dxc5
251,0.0,Na6,Be3
252,0.0,g6,Qc2
253,0.0,Ne7,f6
254,0.0,Ng8,O-O-O
255,0.0,Nb4,Qb3
256,0.0,a5,a3
257,0.0,Na6,Nd4
258,0.0,a4,Qc2
259,0.0,Nxc5,Qxc5
260,0.0,h5,Nxc6
261,0.0,Bxc6,Qxc6+
262,0.0,Kf8,Bb6
263,0.0,Rc8,Bc5+
264,0.0,Ne7,Bxe7+
265,0.0,Qxe7,Qxc8+
266,0.0,Qe8,Qc5+
267,0.0,Kg8,Rxd5
268,0.0,Kh7,Bxb5
269,0.0,Qa8,Rhd1
270,0.0,Rc8,Qxc8
271,0.0,Qxc8+,Kb1
272,0.0,Qc7,Rd7
273,0.0,Qxe5,Rxf7+
274,0.0,Kh6,Bxa4
275,0.0,Qe4+,Bc2
276,0.0,Qf3,Rf8
277,0.0,hxg4,hxg4
278,0.0,Qxg4,Rh8+
279,0.0,Kg5,f7
280,0.0,Qd4,Rxd4
281,0.0,,b3
282,0.0,Nf6,Bb2
283,0.0,Nc6,g3
284,0.0,e5,Bg2
285,0.0,d5,d3
286,0.0,Be7,e3
287,0.0,Bd7,Nd2
288,0.0,a6,Ngf3
289,0.0,h6,Qe2
290,0.0,Ng4,h3
291,0.0,Nf6,a3
292,0.0,g5,g4
293,0.0,e4,dxe4
294,0.0,dxe4,Nxe4
295,0.0,Nxe4,Bxh8
296,0.0,f6,Qc4
297,0.0,Nd6,Qg8+
298,0.0,Bf8,Qg6+
299,0.0,Nf7,Bxf6
300,0.0,Be7,Qg8+
301,0.0,Bf8,Bxd8
302,1.0,Nc3,d5
303,1.0,Nf3,c5
304,1.0,d4,e6
305,1.0,dxc5,Nf6
306,1.0,b4,a6
307,1.0,e3,Nc6
308,1.0,a3,Be7
309,1.0,Bb2,O-O
310,1.0,Rb1,b6
311,1.0,cxb6,Qxb6
312,1.0,Nd2,Bd7
313,1.0,b5,Nd8
314,1.0,bxa6,Rxa6
315,1.0,Bxa6,Qxa6
316,1.0,Qe2,Qa7
317,1.0,Nb5,Bxb5
318,1.0,Qxb5,Bxa3
319,1.0,Bxa3,Qxa3
320,1.0,Qb4,Qa7
321,1.0,O-O,Qc7
322,1.0,g3,h6
323,1.0,c3,e5
324,1.0,Nf3,e4
325,1.0,Nd4,Ne6
326,1.0,Nxe6,fxe6
327,1.0,Qb7,Qxc3
328,1.0,Qb6,Qe5
329,1.0,Rfc1,Ng4
330,1.0,Rc7,Qf5
331,1.0,f4,exf3
332,1.0,Kf1,Nxe3+
333,1.0,Kf2,Ng4+
334,1.0,Kf1,Nxh2+
335,1.0,Kf2,Qc2+
336,1.0,Rxc2,Ng4+
337,1.0,Kg1,f2+
