White,Black,moves,NW,NB
" ""Rkitty"""," ""swampdragon04""","['Nc3', 'g6', 'Nf3', 'Bg7', 'e4', 'e6', 'd4', 'Nf6', 'e5', 'Nd5', 'Bd2', 'Nxc3', 'Bxc3', 'O-O', 'Be2', 'Nc6', 'a3', 'd6', 'Bb4', 'Re8', 'exd6', 'cxd6', 'c4', 'd5', 'cxd5', 'Qxd5', 'b3', 'Nxd4', 'Nxd4', 'Bxd4', 'Bc4', 'Qe5+', 'Be2', 'Bxa1', 'O-O', 'Bd4', 'g3', 'b6', 'Bd2', 'a5', 'Bf4', 'Qc5', 'Bf3', 'Rb8', 'b4', 'axb4', 'axb4', 'Qxb4', 'Bc6', 'Rd8', 'Bxb8', 'Bxf2+', 'Rxf2', 'Rxd1+', 'Kg2', 'Qc5', 'Bf3', 'Rd3', 'Be4', 'Rd4', 'Bf3', 'b5', 'Bf4', 'Rxf4', 'gxf4', 'e5', 'fxe5', 'Qxe5', 'Rc2', 'Qg5+', 'Kf2', 'Bg4', 'Bxg4', 'Qxg4', 'Rb2', 'Qd4+', 'Kf1', 'Qxb2', '0-1']",1.0,0.0
" ""WASDofQWERTY"""," ""Rkitty""","['d4', 'Nf6', 'Bf4', 'd5', 'Nc3', 'e6', 'a3', 'Be7', 'Qd3', 'h6', 'e4', 'g5', 'Bg3', 'Bd7', 'e5', 'Ne4', 'Nxe4', 'dxe4', 'Qxe4', 'Nc6', 'O-O-O', 'f6', 'exf6', 'Bxf6', 'Bxc7', 'Qxc7', 'Qg6+', 'Ke7', 'Nf3', 'Qf4+', 'Kb1', 'Nxd4', 'Nxd4', 'Bxd4', 'Rxd4', 'Qxd4', 'Bd3', 'Qxf2', 'Rf1', 'Qxg2', 'Qf7+', 'Kd6', 'Rd1', 'Rhf8', 'Qh5', 'Qf3', 'Be4+', 'Qxd1+', 'Qxd1+', 'Ke7', 'Bxb7', 'Rab8', 'Ba6', 'Bb5', 'Bxb5', 'Rxb5', 'a4', 'Rbf5', 'Qg4', 'Rf1+', 'Ka2', 'R1f2', 'Qh5', 'Rxc2', 'Qxh6', 'Rb8', 'Qh7+', 'Kd6', 'Qxc2', 'Rb7', 'Qg6', 'Rb4', 'Qxg5', 'Rxa4+', 'Kb1', 'Re4', 'h4', 'Re1+', 'Ka2', 'Re5', 'Qg7', 'a5', 'Qg6', 'a4', 'h5', 'Re1', 'h6', 'Kd5', 'h7', 'Rh1', 'Qg7', 'e5', 'h8=Q', 'Rxh8', 'Qxh8', 'e4', 'Ka3', 'e3', 'Qc3', 'Ke4', 'Kxa4', 'Kf3', 'b4', 'Kf2', 'b5', 'e2', 'b6', 'e1=Q', 'Qxe1+', 'Kxe1', 'b7', 'Ke2', 'b8=Q', 'Kd3', 'Kb3', '1-0']",0.0,1.0
" ""Rkitty"""," ""Edgar2302""","['Nc3', 'c5', 'Nf3', 'Nc6', 'e4', 'g6', 'd3', 'Bg7', 'Bd2', 'd6', 'a3', 'Nf6', 'h3', 'e5', 'Be2', 'O-O', 'b4', 'cxb4', 'axb4', 'a6', 'Nd5', 'Nxd5', 'exd5', 'Ne7', 'c4', 'b5', 'cxb5', 'Bd7', 'd4', 'axb5', 'Rxa8', 'Qxa8', 'dxe5', 'dxe5', 'O-O', 'Qxd5', 'Ng5', 'h6', 'Bf3', 'Qd4', 'Ne4', 'Bc6', 'Nc5', 'Bxf3', 'Qxf3', 'Qxd2', 'Nd7', 'Rc8', 'Nc5', 'Qxb4', 'Nd7', 'Rd8', 'Nb6', 'Qf4', 'Qxf4', 'exf4', 'f3', 'Rb8', 'Nd7', 'Rb7', 'Nc5', 'Rc7', 'Na6', 'Ra7', 'Nb4', 'Bc3', 'Nd3', 'b4', 'Rd1', 'g5', 'Nc1', 'Kg7', 'Nb3', 'Ra3', 'Nc5', 'b3', 'Ne4', 'Bb4', 'Nf2', 'b2', 'Nd3', 'Bc3', 'Nxb2', 'Bxb2', 'Rd7', 'Nf5', 'g4', 'Ng3', 'Rb7', 'Bd4+', 'Kg2', 'Ra2+', 'Rb2', 'Rxb2#', '0-1']",1.0,0.0
" ""Rkitty"""," ""grotesqueanimal""","['Nc3', 'Nf6', 'Nf3', 'd5', 'd4', 'Nc6', 'e3', 'e6', 'Bd2', 'Bd6', 'Be2', 'b6', 'a3', 'Bb7', 'h3', 'O-O', 'g4', 'Ne4', 'Nxe4', 'dxe4', 'Ne5', 'Nxe5', 'dxe5', 'Bxe5', 'f4', 'Bxb2', 'Rb1', 'Bxa3', 'Bb4', 'Bxb4+', 'Rxb4', 'Qh4+', 'Kd2', 'Rad8+', 'Rd4', 'Rxd4+', 'exd4', 'e3+', 'Kxe3', 'Bxh1', 'Qxh1', 'Qg3+', 'Bf3', 'Re8', 'Qb1', 'f6', 'Qb5', 'Kf7', 'Qd7+', 'Re7', 'Qb5', 'Qxh3', 'g5', 'e5', 'dxe5', 'fxe5', 'Ke4', 'exf4+', 'Kxf4', 'Qh4+', 'Bg4', 'Qf2+', 'Bf3', 'Qd4+', 'Kg3', 'Qg1+', 'Kf4', 'h6', 'Qf5+', 'Ke8', 'Bh5+', 'Kd8', 'Qf8+', 'Kd7', 'Qf5+', 'Kd8', 'Qd5+', 'Rd7', 'Qa8+', 'Ke7', 'Qe8+', 'Kd6', 'Qg6+', 'Kc5', 'Qf5+', 'Kc4', 'Qxd7', 'Qxg5+', 'Ke4', 'Qxh5', 'Qd4+', 'Kb5', 'c4+', 'Ka6', 'Qa1+', 'Kb7', 'Qd4', 'Qg6+', 'Ke3', 'Qg1+', 'Kd3', 'Qxd4+', 'Kxd4', 'h5', 'Ke4', 'h4', 'Kf4', 'Kc6', 'Kg4', 'Kc5', 'Kxh4', 'Kxc4', 'Kg5', 'a5', 'Kg6', 'a4', 'Kxg7', 'a3', 'Kf6', 'b5', 'Ke6', 'b4', 'Kd7', 'b3', 'Kxc7', 'a2', 'Kb6', 'a1=Q', 'Kb7', 'b2', 'Kb6', 'b1=Q+', 'Kc6', 'Qa6+', 'Kc7', 'Qbb7+', 'Kd8', 'Qaa8#', '0-1']",1.0,0.0
" ""Dislaster"""," ""Rkitty""","['e4', 'e5', 'Nf3', 'Nf6', 'c3', 'd6', 'd4', 'Nc6', 'Bb5', 'Bd7', 'd5', 'Na5', 'Bxd7+', 'Nxd7', 'b4', 'Nf6', 'bxa5', 'Nxe4', 'O-O', 'Nf6', 'Bg5', 'Be7', 'Nbd2', 'h6', 'Bxf6', 'Bxf6', 'Ne4', 'Qe7', 'Rb1', 'O-O-O', 'Qb3', 'b6', 'axb6', 'cxb6', 'a4', 'Bg5', 'a5', 'f5', 'axb6', 'axb6', 'Qxb6', 'fxe4', 'Qb8+', 'Kd7', 'Qb5+', 'Kc7', 'Qc6#', '1-0']",0.0,1.0
" ""yasernakib"""," ""Rkitty""","['e4', 'Nf6', 'e5', 'Ng4', 'f4', 'd6', 'h3', 'Nh6', 'Nf3', 'd5', 'd4', 'e6', 'g4', 'Bd7', 'c4', 'Be7', 'cxd5', 'exd5', 'f5', 'Ng8', 'Nc3', 'c6', 'Na4', 'b5', 'Nc5', 'Bxc5', 'dxc5', 'Na6', 'Be3', 'g6', 'Qc2', 'Ne7', 'f6', 'Ng8', 'O-O-O', 'Nb4', 'Qb3', 'a5', 'a3', 'Na6', 'Nd4', 'a4', 'Qc2', 'Nxc5', 'Qxc5', 'h5', 'Nxc6', 'Bxc6', 'Qxc6+', 'Kf8', 'Bb6', 'Rc8', 'Bc5+', 'Ne7', 'Bxe7+', 'Qxe7', 'Qxc8+', 'Qe8', 'Qc5+', 'Kg8', 'Rxd5', 'Kh7', 'Bxb5', 'Qa8', 'Rhd1', 'Rc8', 'Qxc8', 'Qxc8+', 'Kb1', 'Qc7', 'Rd7', 'Qxe5', 'Rxf7+', 'Kh6', 'Bxa4', 'Qe4+', 'Bc2', 'Qf3', 'Rf8', 'hxg4', 'hxg4', 'Qxg4', 'Rh8+', 'Kg5', 'f7', 'Qd4', 'Rxd4', '1-0']",0.0,1.0
" ""Edescarcha"""," ""Rkitty""","['b3', 'Nf6', 'Bb2', 'Nc6', 'g3', 'e5', 'Bg2', 'd5', 'd3', 'Be7', 'e3', 'Bd7', 'Nd2', 'a6', 'Ngf3', 'h6', 'Qe2', 'Ng4', 'h3', 'Nf6', 'a3', 'g5', 'g4', 'e4', 'dxe4', 'dxe4', 'Nxe4', 'Nxe4', 'Bxh8', 'f6', 'Qc4', 'Nd6', 'Qg8+', 'Bf8', 'Qg6+', 'Nf7', 'Bxf6', 'Be7', 'Qg8+', 'Bf8', 'Bxd8', 'Kxd8', '1-0']",0.0,1.0
" ""Rkitty"""," ""username6""","['Nc3', 'd5', 'Nf3', 'c5', 'd4', 'e6', 'dxc5', 'Nf6', 'b4', 'a6', 'e3', 'Nc6', 'a3', 'Be7', 'Bb2', 'O-O', 'Rb1', 'b6', 'cxb6', 'Qxb6', 'Nd2', 'Bd7', 'b5', 'Nd8', 'bxa6', 'Rxa6', 'Bxa6', 'Qxa6', 'Qe2', 'Qa7', 'Nb5', 'Bxb5', 'Qxb5', 'Bxa3', 'Bxa3', 'Qxa3', 'Qb4', 'Qa7', 'O-O', 'Qc7', 'g3', 'h6', 'c3', 'e5', 'Nf3', 'e4', 'Nd4', 'Ne6', 'Nxe6', 'fxe6', 'Qb7', 'Qxc3', 'Qb6', 'Qe5', 'Rfc1', 'Ng4', 'Rc7', 'Qf5', 'f4', 'exf3', 'Kf1', 'Nxe3+', 'Kf2', 'Ng4+', 'Kf1', 'Nxh2+', 'Kf2', 'Qc2+', 'Rxc2', 'Ng4+', 'Kg1', 'f2+', 'Kf1', 'Nh2+', 'Kg2', '1-0']",1.0,0.0
" ""Rkitty"""," ""maumee""","['Nc3', 'c6', 'Nf3', 'd5', 'd4', 'Bg4', 'e3', 'e6', 'Be2', 'Nd7', 'h3', 'Bh5', 'Bd2', 'Bg6', 'a3', 'Qb6', 'b4', 'a5', 'Bd3', 'Bxd3', 'cxd3', 'axb4', 'axb4', 'Rxa1', 'Qxa1', 'Be7', 'Qa8+', 'Bd8', 'O-O', 'Qxb4', 'Ne5', 'Ngf6', 'Nxd7', 'Nxd7', 'Ne2', 'Qb2', 'Rd1', 'O-O', 'Nf4', 'Bc7', 'Qa1', 'Qb3', 'Qb1', 'Qxb1', 'Rxb1', 'b6', 'Bb4', 'c5', 'dxc5', 'bxc5', 'Ba3', 'Ra8', 'Bb2', 'h6', 'e4', 'dxe4', 'dxe4', 'Ne5', 'Bxe5', 'Bxe5', 'Nd3', 'Bd4', 'Kf1', 'c4', 'Nb4', 'c3', 'Nc2', 'e5', 'Ke2', 'f6', 'Kd3', 'Ra4', 'f4', 'Kf7', 'fxe5', 'fxe5', 'Rf1+', 'Ke6', 'Rf8', 'g5', 'Re8+', 'Kf6', 'Rc8', 'Ra2', 'Rc6+', 'Ke7', 'Rxh6', '1-0']",1.0,0.0
" ""Rkitty"""," ""payam80225""","['Nc3', 'c5', 'Nf3', 'Nc6', 'e4', 'a6', 'd3', 'Qc7', 'a3', 'e6', 'Bd2', 'd6', 'h3', 'b5', 'Be2', 'Bb7', 'g4', 'Nf6', 'Ng5', 'h6', 'Nf3', 'Be7', 'g5', 'hxg5', 'Bxg5', 'Nh7', 'Bxe7', 'Nxe7', 'h4', 'O-O', 'Qd2', 'Nf6', 'O-O-O', 'd5', 'exd5', 'Nfxd5', 'Nxd5', 'Nxd5', 'h5', 'b4', 'h6', 'gxh6', 'Rxh6', 'Qf4', 'Rg1+', '1-0']",1.0,0.0
